,description_2
289,"White   House  fellow,  Programmer ,   Alter Conf ,  Fund   Club . I keep busy.

 Consulting : https://t.co/3A Ngk K Aq U8

 Support  diversity in tech: https://t.co/AB Lp 6homk8"
290,Oxford   University   Prof  &  Google   Deep Mind   Scientist
291,Cognitive  media; collective intelligence; open science.  Research   Fellow   recursecenter
292,Marine  biologist studying shark feeding ecology and conservation. I support science-based sustainable fisheries management.  Blogger  at  sfriedscience
293,Researcher  and geek: science +  Python  + data = brain imaging + scikit-learn + machine learning +  Mayavi  + physics (& traveling... sailing... hiking...)
294,All  math and no trousers
295,"Python  for data & scientific analysis, data exploration, & interactive visualization.  Co -founder   Continuum IO, creator of http://t.co/qK5ka Xtd WA &   Py Data Conf"
296,CS  Ph D student at  Stanford .  Research  scientist at  Open AI. I like to train  Deep   Neural   Nets  on large datasets.  On  a quest to solve intelligence.
297,"The  official channel of the  Office  for  National   Statistics , UK.  Guidance  on ONS & social media: http://t.co/EZ Shcyaoxj   Contact  us: http://t.co/VH4o Tu E Yl 2"
298,"Chief   Digital   Officer  at  ONS |  Board  of  Trustees     South   West   Heritage   Trust  |  Digital ,  Data ,  Music"
299,"Center  for  Data   Science  at NYU, working on open source and open science.  Machine  learner, python geek and scikit-learn enthusiast."
300,Apply  for our 12- Week   Data   Science   Bootcamp  https://t.co/O5 Rxpxamm M
301,Data   Science .  Data   Scientist .  Big   Data .  Data   Hacks .  Data   Junkies .  Data   Startups .  Open   Data
302,Bringing  together the global data science community to help foster the exchange of innovative ideas and encourage the growth of open source software.
303,Data   Visualisation   Editor   ft.  Views  expressed are my own.  Retweets  are not necessarily endorsements.
304,A professional training and outreach program for journalists in  Latin   America  and the  Caribbean .
305," ONS Digital ,  Data   Visualisation .  Current  loves...wife, maps, data, d3js, cider, football, and cycling."
306,"Senior   Writer ,  Fast   Company"
307,"Open , non-profit awards celebrating excellence in data visualization and information design."
308,Freelance  web development + data visualisation. D3 +  Java Script .  datavisbrighton organiser.
309,"Data   Nerd , CS  Doctor ,  Stat   Lover ,  Outdoor   Enthusiast ,  Bread   Appreciator !  Currently    Linkedin ,  Previously    Twitter ."
310,I can help you visualize your data
311,  Juriste   University   Paris 1- Pantheon Sorbonne    Enterprises    Droit Des Affaires    Digital    Numbers    Big Data    New Tecnologies   CRFPA2016
312,"veni, vidi ... map"
313," A place for learning and hacking on maps in  Milan ,  Italy ."
314,"just a liberal, freckle-faced slut - some dude on  Twitter .  Also , I  Fucking   Love   Science ."
315, developer  javascript  css  html  rubyonrails  business  startup  webdesign  angularjs  brokesystem
316,"U2-loving MT Ber , part-time consulting earthquake researcher and expert at travelling world using other people's money.  Novice  runner.  Views  expressed are my own"
317,Passionate  about innovative  Data   Visualizations  &  Data   Art .  Graduated   Astronomer .  Love  D3 | R | travel | cats | paper art
318,I will debug your web
319,"Deputy  editor,  Five Thirty Eight"
320,"Knight   Chair  at the  University  of  Miami .  Author  of ' The   Truthful   Art ' (to be published in  March  2016), and ' The   Functional   Art ' (2012) http://t.co/W Viz 9f Ol 7J"
321,Chartmaker .
322,"Web  performance engineer at  Google ; co-chair of W3C  Webperf  WG.  In  short, an internet plumber."
323,"Brendan   Eich  invented  Java Script , co-founded https://t.co/3BL4fnh Zut , and has founded a new startup, https://t.co/NV4bmd6vxq."
324,Software  engineer  stripe; I write books (http://t.co/U Cjuh P2QTS) and code (https://t.co/V Qja N7C Qbp )
325,design || code
326,"Artist , writer, court jester to the  Tech  kingdoms.  With    Nitrozac , I create  The   Joy  of  Tech  comic.  Triva :  Canada 's largest exporter of propeller beanies."
327,"Artist  and illustrator, I also create  The   Joy  of  Tech  comic.  World -famous portrait artist, from the average geek to the tech elite!"
328,"programming, philosophy, history, internet, startups, investing"
329,"Breaking  technology news, analysis, and opinions from  Tech Crunch .  The  number one guide for all things tech."
330,How  people build software
331,"I'm a news.ycombinator bot, get the latest from  Hacker   News !  Built  by the lovely  riklomas from  superhi_"
332,"physics  Ph D, chief data scientist, meetup organizer, visiting professor, https://t.co/eyby Zttf PL"
333,Il   Twitteraio   Magico .  Co - Founder  & board member  talentgardenit.  Co -founder &  President  of  superpartescamp.  Great  fisherman octopus.  Certified  smiles provider.
334,Internet  compliant maker and thinker since 1993 -  Ceo  and co-founder SUPERPARTES  Innovation   Campus .  Co -founder ONION  Spa  .
335,"Hacking   Eating   Tracking  is an unusual hybrid of science symposium and hackathon, catalyzing the future of studying human eating behavior."
336,"Esri  helps you create a better world with the visionary  Arc GIS platform for web maps, location apps, business analytics, geodesign & citizen engagement."
337,The   Location -based blog.  Follow  us for the latest awesomeness about everything  Geo .
338,I used to work for the government.  Now  I work for the public.  Director  at   Freedomof Press .
339,"Leaflet , an open-source  Java Script  library for mobile-friendly interactive maps.  Tweets  by  mourner"
340,Open Street Map  is the free editable map of the whole world.  It  is made by people like you.
341,"We 're an open source mapping platform for developers. 

 We  want to change the way people move around cities and understand our planet."
342,"Professor   Global   Health ,  Karolinska   Institutet .
 Edutainer  & co-founder of  Gapminder   Foundation"
343,"Data   Science ,  Spatial   Analysis ,  Statistics , R  Enthusiast  &  Instructor ,  Web   Development ,  Python ,  Data   Vizualization ,  Public   Health .  Tech : http://t.co/GD Or Xg Fn Mh"
344,"Urbanist ,  Mapmaker  &  Data   Junkie .  Civic   Hacker .   Dataviz  and  opendata enthusiast.  Mapping  all the things   Carto DB  Thoughts =mine."
345,"A location intelligence & visualization engine that empowers you to transform data into insights.  Connect  & map location data, and develop location based apps."
346," UBCSCARP  Planner ,  SIAT_SFU  Interaction   Designer , &  Engaged   Citizen .  Cities ,  Photos ,  Maps ,  Data , UX.  Streets  are for people.  Views  are my own."
347,' Data  scientist' and  Machine  learning enthusiast with a big passion for  Python  & open source.  Author  of ' Python   Machine   Learning '
348,"Europe 's largest community of coders & developers coming together to learn/share skills, discover new technologies & evolve ideas. Check  out our venue   Code Node"
349,
350,"Visualise , share and gather insights from data using the  Data   Unity   opendata tools.  Posted  by  Kev   Kirkland ."
351,UK charity using data in the service of the greater good.  We  are the UK chapter of   Data Kind
352,"Harnessing  the power of data science in the service of humanity.  We  have  Chapters  in  Bangalore ,  Dublin ,  San   Francisco ,  Singapore , the UK and  Washington  DC."
353,"Physicist , data scientist,  I Python Dev  creator (now   Project Jupyter ).  Scientist  at LBNL/UC  Berkeley , climber, advisor to  plotlygraphs,  terminalcloud."
354,"Cognitive  neuroscience  Ph D student interested in decision-making, data visualization, and reproducible science"
355,"Post Doc  UC  Berkeley  BIDS,  Jupyter /I Python /python dev, lots of javascript too."
356," MIT,  UCSC  Alumna .  Ph D student in  Bioinformatics   UC San Diego .  Data  dula.  Beware  of opinions on:  Python , open science, dataviz, yoga, fashion,  Beyonc ."
357,I  D3.js
358,"Learn  how to make  Data   Visualizations  with D3.js // D3.js  Tutorials , D3.js  Screencasts , D3.js  Training  & D3.js  Newsletter  (   Data Viz  &  D3js)."
359,Visualization  +1.  Author  of http://t.co/ Ir 2AAA6Y Mh  and http://t.co/tZNJBR1aCJ
360,"The  home of  Nate   Silver 's  Five Thirty Eight  on  Twitter .  Politics ,  Economics ,  Science ,  Life ,  Sports ."
361,"Assistant   Professor  of  Government ,  Harvard   University .  Statistics , data, yada, yada, yada."
362,"Currently    Twitter ,  Stanford   Cardinal , dancing legs from the  Bay   Area"
363,"Oakland  native, corgi owner, pickle maker. daily hustle  expa, formerly growth data science  twitter"
364,"Aspiring  polymath.  Data  scientist  twitter, previously  facebook and  instagram.  Trying  to improve compassion in the world."
365,Data   Janitor  |  Taiwanese   American  |  Statistically   Educated  |  Aspiring   Singer
366,"data science manager  airbnb, visiting scholar at   Stanford Ed . directed ties & data."
367,AOL  Keyword : UNC sociology
368,Geography  professor and director of the  Center  for  Urban   Studies  (https://t.co/7 Kfs 2 Pz NN6) at  TCU.
369,Turning  data into information
370,"UW  Computer   Science   Professor .  Co - Founder  of  Trifacta .  Data , visualization & interaction.  trifacta  uwdata"
371,"journalist in the digital age: https://t.co/k9wd4yqqlj etc ( Rt  ? endorsement, perhaps)."
372,"Collaborative  computational social science blog.  rstats,  Python ,  La Te X, cluster computing.  Don   Knuth  meets  Charles   Tilly ."
373,"Ph D candidate at  UW Soc : social movements, media, computational social science.  Trans .  Derby :   Mad Rollin Dolls .  Blog :   Bad Hessian .  Pronouns : she/her | they/them."
374,"Physics ,  Data   Science , I Python ,  Jupyter ,  Py ZMQ,  Sym Py"
375,dada artist
376,"The   Python   Quants   Gmb H (GER) / LLC. (NYC),  Author  of  Python  for  Finance  (http://t.co/m7 Nly 0M8 Iv ) &  Derivatives   Analytics  with  Python  (http://t.co/ESY Uot Ujkf )."
377,"Machine  learning, genomics, cancer immunotherapy"
378,"you should read my blog if you like programming and exclamation marks.   recursecenter,  bangbangcon"
379,Mobile / Web   Consultant  | VP  Eng    Cheerity  |  Organizer   nycgdg  gdghudsonvalley  meteorhv |  Proud   Parent  |  Community   Hacker   ilovehudsonvalley
380,"Computational  linguist and former graduate student.  Erm , because I graduated."
381,Data   Scientist     Parse .ly
382, omg
383,tech & society // data collaboration & visualization // multiple hats  dat_project // my arm is just a trumpet  thewyattact
384,Creator  of  Sci Py ;  Author  of  Num Py ;  Previously   Professor  in  Biomedical   Imaging ; CEO and co-founder of  Continuum   Analytics
385,CTO of   Parsely  (http://t.co/h Egzl P9a4E).  Bringing  clarity to web content & analytics.  Pleased  to be a  Pythonista .
386,preference heterogeneity
387,"Computational  scientist, also person."
388,running  machinalis .  Tweets  in  Spanglish .
389,"Journo  covering crime, justice and capital punishment at  marshallproj and  thenexttodie.
 Ad  astra per aspera."
390,
391,"Father ,  Pythonista , video/tabletop gamer.  Backend   Engineer   parsely."
392,Sr   Software   Engineer  at  NY Times .  Aspiring  applied physicist mathematician at   Columbia  APAM
393,Data  things   Caerus Updates .  Barrel -aged event data.  Still  a  Ph D student at  Penn   State .  squats
394,"A conference series gathering users and developers of data analysis tools in  Python , R, &  Julia .  Past  talks: https://t.co/W4T3H07AJE  Organized  by   Num FOCUS."
395,"Python  developer, geophysicist, scientific software, data analysis and maps
 planetlabs"
396,"Executive   Editor  at  Nation 's  Restaurant   News   nrnonline.  Bernician   ohbernice.  Into  food, digital stuff, public transit & literature.  Tweets  are my own."
397,Lead  data scientist at  bitly.  Chronically  on time.  Occasionally  bad at email.  Livin ' for the drop.
398,Py Data   Scientist  and  Bayesian  modeler  Blog : http://t.co/M25fUAX3L4  Lead   Data   Scientist   quantopian
399,
400,Director  of  Research  at  counsyl
401,"Data  science, machine learning, and quant finance in python.  Organises   NYC Python    Py Data Conf    Py Gotham    Open Data Sci .  Proud   Texan !"
402,"All  around nice guy.  Machine  learning, signal processing, healthcare operations, volunteer organization"
403,"Fascinated  by the intersection of abstraction and reality, I found my calling in data science."
404,"Data   Scientist  in academia (and exploring what that means). I spend my time on astronomy, python, stats, reproducibility...  Currently  at  U We Science ."
405,Senior  researcher  ONS working on  bigdata
406,Computer  scientist researching artificial intelligence.  Data  tinkerer.  Community  leader for   Data Is Beautiful .   Open Science  advocate.
407,Helping   People   Make   Sense   Of   Data
408,
409,Head   Coach  at the   Info Lab UK   Data School UK  Tableau   Zen   Master    Data Viz Done Right  http://t.co/D Xo J3B Of Sc  http://t.co/ Sz BWN5c Zlg
410,The   New   York   Times   Graphics   Department
411,data visualization person at  uber. huge fan of boylan cola and nyt crosswords.
412,Freelance  software engineer.  Co -author of  d3js.
413,"Design , data, visualization, culture.  d3js book author,  processing contributor.  Design  at  usfca, soon  Learning  at  oreillymedia."
414,"Helping  rid the world of ineffective graphs, one exploding, 3D pie chart at a time!"
415,
416,  Fabric   Swift   Engineer    Twitter .  Previously    Pebble .  Functional   Programming  enthusiast.  Rubik 's  Cube  speed solver.  Chess  player.  Made   watch_chess.
417,"Big  thinking recruiters, specialising in  Big   Data ,  Data   Science  &  Machine   Learning .   Big Data    Data Science    Machine Learning    Internetof Things    Analytics"
418,"CEO   Ekimetrics ,  Statistician ,  Marketer ,  Speaker .   Econometrics ,   Mix Modeling   CRM   Big Data  expert   Polytechnique   Alum"
419,"Cloud ,  Data ,  Mobile   Geek ,  Snowboarder   python  aws  machinelearning  datascience  dataviz https://t.co/yN4QW1 Knic"
420,"Alley  cat.  Got  claws and nothing to lose.  Loose  canon.  Rock  star scientist.  Offensive .  Excessive .  Not  friends just because we once talked, keep the distance."
421,"Head  of  Technology  at   Scott _ Logic ,   Shinobi Controls  iOS  Ninja  and CTO,  Creator  of   Property Cross  and   Beautify Io , blogger and tech enthusiast."
422,Purveyor  of fine misinformations.  Creator  of  d3js.  Former   nytgraphics editor.
423,"web developer: python, javascript, data analysis, data visualization, D3.js, stats, civic hacking, mapping. also books + trashy TV."
424," CASAUCL  Ph D ( Cities : open infrastructure, data, people), code, mapping, geo, books, annoyance.  Man  for all seasons.  Languorous ; cantankerous; frequently supine"
425,Your  apps and devices are constantly generating data about you.  Sherbit  puts it all together so you can easily understand and analyze your information.
426,Official  twitter channel for enquiries related to the GOV.UK website.  Our  social media house rules can be found here: https://t.co/h Wn 1 Br J50t
427,The  UK  Civil   Service  implements the policy of the  Government  of the day and delivers crucial public services.
428,  Big Data Tech Con  is the HOW-TO technical training conference for   Big Data  professionals.
429,"Geek  level 24. I like statistics, data, football, cars and sci-fi.  Works   ONS, all views my own."
430,"Welcome  account of the  Telecom   Italian   Group .  Here  you can follow the news on the development of the territory, events, financial and institutional appointments."
431, bigdata and other trifles -  Big   Data   Monetization  program manager  telecomitalia
432,All  things about  Mozilla  ( Geo )location.
433,
434,This  is the world's largest open-source project that collects GPS positions of cell towers for improved localisation without GPS.
435,"Simply   Statistics  blog by  Jeff   Leek ,  Roger   Peng , and  Rafael   Irizarry .  Home  to statistics; data; science; and  Rafa 's  Rants ."
436,Biostat  prof at JHU;  Author  of  The   Art  of  Data   Science ;  Co - Director  JHU  Data   Science ; co-host  NSS Deviations
437,This  is the twitter feed for the  Johns   Hopkins   Department  of  Biostatistics ; the world's first department of biostatistics
438,
439,"Numerical  relativist,  University  of  Southampton .  Co -director  NGCM_ Soton , an EPSRC CDT in  Computational   Modelling .  Neutron  stars, gravitational waves, numerics."
440,"Engineering  professor, computational scientist, jazz buff, techie, mac fan, academic writer and font geek."
441,"By  leveraging  Big   Data ,  Machine   Learning  &  Semantic   Web  techs, we are building a high-quality knowledge-graph, that powers  dandelionapi &  atoka_io."
442,Semantic   Text   Analytics  as a service.  From  text to actionable data: extract meaning from unstructured text and put it in context with a simple API.
443,"Designer ,  Coder ,  svaixd grad.  Designing   siftscience. built http://t.co/KS Zyr Xd Aw M and  r2d3us"
444,Currently  at  Stanford   University
445,"Data -driven insights about notable moments and conversations from  Twitter ,  Inc ., plus tips and tricks to help you get the most out of  Twitter  data."
446,"Developer  and  Platform   Relations    Twitter .  We  are developer advocates.  We  can't answer all your questions, but we listen to all of them!"
447,"Research    Stanford NLP,   Google Research  and  Symbolic   Systems  student   Stanford . NLP, linguistics, ML, cognitive science + biking!"
448,Analytics  PM at  Digital   Reasoning
449,Daily  data science tweets from   John D Cook .
450,"principal & co-founder   Data Guild , adventure seeker, world traveler. broadly interested in human-machine systems to enhance resilience in an uncertain world"
451,Chief   Data   Scientist    Mail Chimp .  My  new book  Data   Smart  (http://t.co/cD98w6v7SA) is out from   Wiley Tech . http://t.co/JJ06X4CAOS
452,"/r/ Machine Learning :  Research ,  News ,  Discussions ,  Software  on:  Machine   Learning ,  Data   Mining ,  Text   Processing ,  Information   Retrieval ,  Search   Computing  and alike"
453,"Statistician ,visualizer,artist.  Professor   Poli Sci ,  Statistics , Comp Sci   Yale + Princeton  33 years.  Founded   Graphics   Press ,  Hogpen   Hill   Tree   Farms , ET  Modern   Gallery"
454,"Leading   Engineering  at  Quora .  Netflix  alumni.  Software ,  Machine   Learning ,  Data ,  Recsys ...  From   Barcelona , in the  Valley  (always on the red pill)"
455,One  probability fact per day M-F from   John D Cook .  See  link for similar  Twitter  streams.
456,"Professor  of  computerscience   Stanford ;  Chief   Scientist    Pinterest .  datamining  machinelearning  networks,  bigdata,  web  socialmedia."
457,"Founder  and CSO,  Trifacta .  Berkeley  CS  Prof , focused on data and computation.  Advisor  to tech companies."
458,
459,entrepreneur and financier. partner  dcvc and  oap_io. festina lente.
460,I was into data before it was big.
461,"Founded  in 1991,  Microsoft   Research  is dedicated to conducting both basic and applied research in computer science and software engineering."
462,"Mathematician , consultant, entrepreneur"
463,Co -founder of   Confluent Inc  (http://t.co/rT Pd 9llL Mb ).  Co -creator of  apachekafka.  Fox  studying to be a hedgehog.
464,"Computational   Linguistics Natural   Language Machine   Learning Deep   Learning .  And  misc technology from  Silicon   Valley . ( chrmanning,  jurafsky &  percyliang)"
465,"CTO,  Lyra   Health"
466,"Cloudera  delivers the modern platform for data management and analytics.  We  provide the worlds fastest, easiest and most secure  Apache   Hadoop  platform."
467,"UC  Berkeley  alum.  Silicon   Valley   Scientist .  Machine   Learning ,  Data   Science  and  Statistics .  Formerly  at  Microsoft , now at a very small company."
468,"researcher at msr nyc, adjunct at columbia"
469,Blogger  and R  Community   Lead  at  Microsoft  (formerly of  Revolution   Analytics ).  Proud  husband to  nonfamousjay.
470,"The  world's largest community of data scientists.  Join  us to compete, collaborate, learn, and share your work."
471,"Social   Scientist .  Hacker .  Facebook   Data   Science   Team .  Keywords :  Experiments ,  Causal   Inference ,  Statistics ,  Machine   Learning ,  Economics ."
472,I profess to know very little at the  University  of  Waterloo . I used to write code for  Twitter  and slides for  Cloudera .
473,"  Slack HQ  Data   Scientist  and  Apache   Crunch  committer. I mostly tweet about data science and postmodern lit.  Yeah , I know."
474,"http://t.co/9F Pw VBBIYB  cloudera.  Craftsman  of data tools.  Formerly :  Data Pad , AQR.  Created  pandas and wrote  Python  for  Data   Analysis .  Views  are my own"
475,Data   Science  advisor.  Turning  data into products and stories.  Former  VP of  Data    Jawbone  &   Linked In  data scientist. EP  DCVC. CMU CS  Ph D.
476,"Founder  + CEO   Metamarkets .  Investor   DCVC. I  data, analytics, & visualization."
477,"Statistics ,  Machine   Learning ,  Natural   Language   Processing ,  Mountain   Biking ,  Hiking .  Facebook  escapee. UCLA  Bruin . LA native."
478,"Chief   Scientist  of  Baidu ;  Chairman  and  Co - Founder  of  Coursera ;  Stanford  CS faculty.  machinelearning,  deeplearning  MOO Cs ,  edtech"
479,"Data  nerd, hacker, student of conflict.  alluvium founder and CEO"
480,Scientist  at  Facebook  and  Julia  developer.  Author  of  Machine   Learning  for  Hackers  and  Bandit   Algorithms  for  Website   Optimization .  Tweets  reflect my views only.
481,"Datageek , engineer   Parietal _INRIA, contributor to scikit-learn. I like  Python ,  Num Py ,  Spark  & interested in  Machine   Learning , NL Proc , { Big | Linked | Open }  Data ."
482,Chief   Data   Scientist   O Reilly Media .  Director  of  Content   Strategy   strataconf.  Aspirant   Parisien .  Every   Sunday  is a  Hack   Day .
483,"K Dnuggets   President ,   Analytics ,   Big Data ,   Data Mining ,   Data Science  expert, KDD & SIGKDD co-founder, was  Chief   Scientist  at 2 startups, part-time philosopher."
484," techammer
 hammer_lab
 cloudera"
485,"Startup   Co - Founder  & CEO.  Dad Ops .  Specialize  in machine learning, product design, social computing.  Was   Principal   Data   Scientist    Linked In ,  Engineer   AOL, MIT."
486,Data  scientist at  Polynumeral .  Neuroscience  & space enthusiast. I like starting stuff.
487,"Im  in  Marketing  with  Revolution   Analytics . I do statistics, am one the organizers of the  Bay   Area  R  User   Group , and a blogger on  Revolutions  blog"
488,Quantitative   Trading .  Data   Engineering . HPC.  Machine   Learning .  Econometrics .  Unix .  Open   Source . ( Co -)creator of  Rcpp  and other R packages.  Debian  developer.
489,"I use R for big data analysis at  Revolution   Analytics .
 Co -author of R for  Dummies ."
490,Stats  geek working in  ONS  bigdata where  datascience meets  officialstats.  All  views my own.
491,Samantha   Cristoforetti .  European  of  Italian  nationality.  Lived  on ISS  Nov '14- Jun '15.  Now  adjusting back to being an  Earthling  on our beautiful spaceship  Earth .
492,I believe in the power of the imagination to remake the world -- J.G. Ballard
493,
494,Data   Scientist  at  Collective   Sensing   Research
495,The   Institute  of  Mathematics  and its  Applications  (IMA) is the UK's learned and professional society for mathematics and its applications.
496,News  from the  Isaac   Newton   Institute  for  Mathematical   Sciences .  We  bring the world's top scientists together to collaborate in advanced research programmes.
497,  Opines  on   Big Data  by   Opine Media Group  (OMG).  Now  on  Flipboard  https://t.co/z Ab Str TIC7  Join   Today  -  Submit  your  Blog   Feed  to bigdata pr2web.com
498,"Data   Science , BI,  Analytics , and  Big   Data ."
499,Bringing  data literacy to the masses   Get  data literate $  Command  higher wages   Move  up the ladder
500,The  easiest way to learn to code.
501,http://t.co/r Qdco Ey Ax 8 is a non-profit dedicated to exposing all students to computer science.  Anybody  can learn.
502,"Women  2.0 is a media company w/ content, community & conferences for women innovators in technology.  Programs  include  W2 City Meetup  and conferences."
503,"  Tech Girls  is a  EC Aat State  program to  empower teenage  girls from the  Middle   East  and  North   Africa ,  MENA to pursue careers in  STEM"
504,"Tech Women  is an  EC Aat State  program empowering women leaders in  STEM from  Africa ,  Central   Asia  & the  Middle   East .  Managed  by  IIE Women ."
505,Leading  nonprofit providing affordable classes for adult women interested in learning web & software development in a judgment-free environment  girldevelopit
506,"Girls  in  Tech  is a global non-profit focused on the engagement, education and empowerment of women in technology and entrepreneurship."
507,We  are  Girls   Who   Code  & together we are closing the gender gap in tech & engineering!   Be A Girl Who Codes    Be The Nerd
508,Turing   Gateway  to  Mathematics  acts as a channel for the flow of knowledge and ideas between the mathematical sciences and the users of mathematics.
509,"We  are   Women Who Code   London .  Bridging  the gender gap in IT.  Tech   Talks  |  Career   Trainings  |  Hack   Nights .  For  enquiries, email us - london womenwhocode.com."
510,"Sharing  stories about smart women doing important things in tech, beginning with  Toronto ."
511,"Digital  literacy for women and youth.  Goal :  Teach  200,000  Canadian  women and youth to code by 2020.  We 're also the team behind http://t.co/R56 Iaj F9SZ"
512,"A group for women working in IT.  Helping  women achieve career success in tech.  Founder ,  Maggie   Berry   maggie__berry.  Join  us on  Linked In : http://t.co/I Buwp Ntc RW"
513,"We  are a 501(c)(3) non-profit dedicated to inspiring women to excel in technology careers. 50,000 members strong in 60 cities spanning 20 countries & counting"
514,"Be  the first to know when news breaks.  Get  our free app to unlock more updates, see news near you and customize your alerts..."
515,Sky   News  founder member and journalist.  Author .  Dog  lover.  Proud  mum.  More  than one million minutes of presenting live TV - and counting...
516,On  tour this  Fall  - tickets on-sale here: https://t.co/G9 Zebsdlqn
517,"I have always imagined that  Heaven  will be something like a library, but with nap pods. - Jorge   Luis   Borges"
518,A  Tech   Blog .  Discuss  about  Software .  Recommends   Awesome   Websites  &  Provides   Computer   Tips .
519,CEO of  Microsoft   Corporation
520,"Tie -loathing adventurer, philanthropist & troublemaker, who believes in turning ideas into reality.  Otherwise  known as  Dr   Yes  at  virgin!"
521,"The  hub for space technology projects, developments and news at NASA."
522,Engineers  first!  Human  rights.  Gadgets .  Jokes  and pranks.  Segways .  Music  and concerts.  Gameboy   Tetris .
523,Explore  the universe and discover our home planet with  NASA.  We  usually post in EDT (UTC-4).
524,"CEO  Apple ,  Fan  of  Auburn  football and  Duke  basketball"
525,Always  on insane-mode.  Maker  of electric cars and renewable energy storage.  Join  the rE Volution !
526,"Official   Twitter  for  Space X, the future of space travel.  Space X designs, manufactures and launches the worlds most advanced rockets and spacecraft."
527,Service  for SQL developers to post tricky queries and share their results with others.  Inspired  by http://t.co/ECXOZV Wtj 1.  Developed  by  jakefeasel
528,"Tesla ,  Space X,  Solar City  &  Pay Pal"
529,http://t.co/ME98gSGRKS
530,Founder  at   Fast Forward Labs .  Data   Scientist  in  Residence  at  accel. I  data and cheeseburgers.
531,"Relevance -as-a- Service .  Algorithmic  influencers mining applied to topical information search, discovery & relevance at scale.  Streaming  big data analytics."
532,"Live  content curated by top  Machine   Learning , NLP, AI  Influencers"
533,"Research  and  Insight   Director  at    We   Are   Social   Italy ,  Market  researcher interested in whatever starts with social, fond of family/contemporary art/guitar/cat."
534,"cynic, narcissistic, multiple personalities, javascript, consultant, trainer, edm, dubstep, trance, author,  theiotsuitcase"
535,"Dirt  newsworthy. P.S .: please take seriously the jokes, not the news!"
536,"Work  hard in silence.  Let  success be your noise...  Be  so busy loving your life that you have no time for hate, regret or fear."
537,"We  provide universal access to the worlds best education.  For  support, please visit http://t.co/ Rmt BX30PV0"
538,"Royal   Holloway  is one of the U Ks  leading research-intensive universities.  Based  in  Surrey , our campus is among the most beautiful in the world."
539,
540,Reimagining   Learning .  Education  project of   Persontyle .  Launching  in 2016.
541,"  Student ,  IT_ Engineer ,   Blogger ,   Optimistic ,   Regimented ,   Conversant At Computer ,   Profound ,   Dexterous ,   Future _ Data _ Scientist"
542,"Vivino  is the  1 wine app, trusted by over 12 million wine drinkers worldwide.  Scan  wine, rate wine, remember wine."
543,
544,gangsta rap made me do it
545,Deputy   Mayor  of  Brescia   President  of  bsperpassione
546,Analyst    imshealth 2015 -  Present  |  Data   Science  &  Analytics    RHUL 2014 - 2015 |  Mainframe   Programmer  2009 - 2014
547,"The   Principal   Data   Scientist  at   Booz Allen ,  Ph D  Astrophysicist ,   Data   Science ,  Top   Big   Data   Influencer .  Ex - Professor  https://t.co/f4gsb Nc 00C"
548,M Sc   Computational   Finance  (gagnagntt og gagnanm).  Tvti  um lfi og tilveruna.  For  tweets in  English :  thoreyinenglish
549,
550,"Learn  R, in R."
551,"Expression  was too complex to be solved in a reasonable amount of time. 

  Magical Record ,  NS Brief"
552,Data  news + resources from  O Reilly Media .   Strata Hadoop  conferences:  San   Jose  |  London  | NY |  Singapore
553,
554,"AIESEC is a global organization, created and run by students and recent graduates to develop leadership."
555,"The   Computing   Society  of  Royal   Holloway ,  University  of  London . A network of computing enthusiasts, academics and professionals."
556,"I have a degree in  Materials   Science  and  Netflix , NBA fans, not too alcoholic anonymous"
557,Special   Features   Correspondent    The Street .  Happy  and  Positive   Guy .
558,
559,
560,"Wonderful  follower gaining service.
 Will  be live soon."
561,
562,"Web   Marketing  specialist at   Workup .  Tweeting  about   Technology , 
  Web Marketing  &   Business"
563,Access   Database   Specialist
564,"pure economist, trainee, trainer"
565,"Living  dreamer, book lover, AIESE Cer , complicated"
566,
567,The  world's largest organization run by students within the  Faculty  of  Economics  of  Wisdom !  Follow  us on FB: https://t.co/nG Ap L Qpb 4X
568,Android  developer at app3 ( Superpartes  company)
569,"You  must not lose faith in humanity.  Humanity  is an ocean; if a few drops of the ocean become dirty, the ocean does not become dirty,  I Believe In People ."
570,AIESEC is the largest organization completely run by college students that promotes international mobility in over 125 countries.
571,
572,"The   Real   Twitter  API. I tweet about API changes, service issues and happily answer questions about  Twitter  and our API.  Don 't get an answer?  It 's on my website."
573,"News  stories, features and updates from the FT.  For  headlines follow  financialtimes.  Our  customer service team is  F Tcare ."
574,"Enterprise   Data   Science   Platform  -  Do   More   With   Data ,  Faster ."
575,
576,"Programmer , author, father, husband, goat farmer"
577,"Programmer ,  Loud   Mouth ,  Thought Worker"
578,Software   Craftsman
579,Official   Twitter   Account  of  Corcom  -  Courier  communications
580,"Italian  stock market is among the main  European  stock exchanges.  It  deals with the management of the stock markets, bond and derivatives"
581,AIESEC is the world's largest youth-run organisation.  Developing  leadership and international experiences.
582,"In  over 110 countries and territories and with over 60,000 members, AIESEC is the world's largest youthrun organisation."
583,AIESEC in  Vietnam  provides top leaders and talented youth to contribute to social and economic development of the  Vietnamese  market today.
584,AIESEC in  Denmark  - live updates on our daily activities
585,Connecting   Canadian  businesses with international youth talent.
586,The  national branch of the world's largest youth-run organisation.
587,AIESEC is the world's largest youth-led organisation.  Our  members explore and realise their leadership potential.  We  are present in 120+ countries.
